Global Step,Loss
1,5.1525702476501465
2,2.2541653156280517
3,1.9574043989181518
4,1.8752101421356202
5,1.7477252960205079
6,1.69334819316864
7,1.6501514673233033
8,1.5986169099807739
9,1.583674931526184
10,1.5771585702896118
11,1.522193932533264
12,1.5048770427703857
13,1.5566337347030639
14,1.5173721313476562
15,1.5266930341720581
16,1.487803840637207
17,1.7232985019683837
18,1.5410606861114502
19,1.5302814483642577
20,1.6305551052093505
21,1.4917454481124879
22,1.5053311347961427
23,1.475297784805298
24,1.4990650415420532
25,1.4845617771148683
26,1.5041916131973267
27,1.5093436002731324
28,1.521373724937439
29,1.5487054586410522
30,1.4737998723983765
31,1.5683378219604491
32,1.5422038078308105
33,1.5718465566635131
34,1.5551609516143798
35,1.5446247816085816
36,1.7203344821929931
