Global Step,Loss
1,4.318229439258576
2,3.7402625823020936
3,3.7061581158638
4,3.512118513584137
5,3.488613233566284
6,3.3606199610233305
7,3.2082412600517274
8,3.3603818893432615
9,3.266871874332428
10,3.2766051900386812
11,3.258128253221512
12,3.1178708815574647
13,3.2120244550704955
14,3.169068341255188
15,3.153612036705017
16,3.080251567363739
17,3.144984655380249
18,3.2052310490608216
19,3.0462462425231935
20,3.0771225786209104
21,3.0586190068721772
22,3.140448851585388
23,2.9483773589134215
24,2.8784553349018096
25,2.939686278104782
26,3.0196061515808106
27,3.0219989681243895
28,2.8946549570560456
29,2.946896617412567
30,3.0313689029216766
31,2.9883974730968474
32,2.928846764564514
33,3.0374097430706026
34,2.857305405139923
35,2.82389582157135
36,2.866448129415512
37,2.8247752809524536
38,2.911383224725723
39,2.889733384847641
40,2.9606254756450654
41,2.8960725867748263
42,2.8033673202991487
43,2.893883444070816
44,2.9212190139293672
45,2.8845736634731294
46,2.898901196718216
47,2.915817621946335
48,2.832748862504959
49,2.8597407400608064
50,2.8965726482868193
51,2.875336141586304
52,2.942742486000061
53,2.7596198463439943
54,2.8412934589385985
55,2.821732747554779
56,2.7791210973262785
57,2.7610161328315734
58,2.8329095470905306
59,2.799220108985901
60,2.8227234613895416
61,2.7613282656669615
62,2.877994259595871
63,2.7841328918933868
64,2.86392812371254
65,2.8463237071037293
66,2.758045157194138
67,2.919944223165512
68,2.6067354798316957
69,2.817479844093323
70,2.7035112094879152
71,2.7630101907253266
72,2.7538734900951387
73,2.776754515171051
74,2.76546328663826
75,2.7520021760463713
76,2.8240048587322235
77,2.7604952526092528
78,2.730844153165817
79,2.7327874398231504
80,2.7560956478118896
81,2.7757285821437834
82,2.784477173089981
83,2.6278418040275575
84,2.8267800986766813
85,2.6920116651058197
86,2.768443238735199
87,2.7442776310443877
88,2.669207010269165
89,2.699231609106064
90,2.6822164523601533
91,2.6569508397579193
92,2.783601413965225
93,2.685884636640549
94,2.751249930858612
95,2.692556722164154
96,2.692236260175705
97,2.6586104190349578
98,2.721992403268814
99,2.6917735624313353
100,2.7109008181095122
101,2.6998839712142946
102,2.6486113822460173
103,2.5980249428749085
104,2.6666491949558258
105,2.7713299012184143
106,2.5926595342159273
107,2.7910694897174837
108,2.7075180864334105
109,2.6310136222839358
110,2.5962042558193206
111,2.6458751356601713
112,2.673278455734253
113,2.647745054960251
114,2.628577128648758
115,2.619654492139816
116,2.6602554714679716
117,2.6264776539802552
118,2.620032101869583
119,2.707659295797348
120,2.712772985696793
121,2.5899465668201445
122,2.666866652965546
123,2.6582543408870696
124,2.6629793393611907
125,2.71792582988739
126,2.7271337497234343
127,2.6183200073242188
128,2.566327090263367
129,2.635401533842087
130,2.6719275987148285
131,2.7014860951900483
132,2.6236969232559204
133,2.7021157813072203
134,2.6237887918949125
135,2.658184688091278
136,2.7038415277004244
137,2.502306571006775
138,2.724109002351761
139,2.6196034610271455
140,2.6755350577831267
141,2.6495817506313326
142,2.641013798713684
143,2.606354960203171
144,2.672640186548233
145,2.659543969631195
146,2.6890144431591034
147,2.6873319602012633
148,2.646020851135254
149,2.579514340162277
150,2.691208462715149
151,2.621265515089035
152,2.5670748281478883
153,2.5577128982543944
154,2.610984206199646
155,2.5317074060440063
156,2.6915087449550628
157,2.5528314411640167
158,2.651996524333954
159,2.6101128315925597
160,2.537919614315033
161,2.676249438524246
162,2.563364814519882
163,2.5251401257514954
164,2.5911006712913514
165,2.5851267802715303
166,2.5267330300807953
167,2.6052294397354125
168,2.5112972152233124
169,2.617257523536682
170,2.609300001859665
171,2.6058198547363283
172,2.6906553864479066
173,2.609979691505432
174,2.531243280172348
175,2.609862662553787
176,2.6291437268257143
177,2.6030455362796783
178,2.6297966957092287
179,2.563917727470398
180,2.652123166322708
181,2.5400770354270934
182,2.6295536971092224
183,2.5976054310798644
184,2.5022110152244568
185,2.5730658626556395
186,2.5200024330615998
187,2.5900351989269255
188,2.5802963268756867
189,2.634384527206421
190,2.5475444877147675
191,2.5838537859916686
192,2.5688767313957213
193,2.5737330079078675
194,2.590469009876251
195,2.5250968134403227
196,2.5394604229927062
197,2.5694560062885285
198,2.6030846989154814
199,2.5795381617546083
200,2.551544643640518
201,2.5931641340255736
202,2.5008826982975005
203,2.539395400285721
204,2.5200773108005525
205,2.553954453468323
206,2.520082151889801
207,2.6038491320610047
208,2.490333641767502
209,2.6432491064071657
210,2.4674362432956696
