Global Step,Loss
1,5.5787702083587645
2,2.6453785419464113
3,2.218385934829712
4,2.0220452308654786
5,2.2962854146957397
6,2.0143500089645388
7,1.919476294517517
8,1.7858196258544923
9,1.78589825630188
10,1.7046786546707153
11,1.6702384233474732
12,1.6591517448425293
13,1.6620903968811036
14,1.584497857093811
15,1.567814302444458
16,1.7378556728363037
17,1.5186113357543944
18,1.504050040245056
19,1.5026189804077148
20,1.6948933839797973
21,1.5079526424407959
22,1.489125943183899
23,1.5173182010650634
24,1.4996947288513183
25,1.4738089799880982
26,1.4908010721206666
27,1.4891966342926026
28,1.511642050743103
29,1.4391678094863891
30,1.4544678688049317
31,1.436726450920105
32,1.6137293577194214
33,1.5106848239898683
34,1.4920949459075927
35,1.486631202697754
36,1.472325086593628
