Global Step,Loss
1,6.424215078353882
2,2.7949098110198975
3,2.05555055141449
4,1.862037229537964
5,1.7847806692123414
6,1.6944376230239868
7,1.6857958793640138
8,1.6123073101043701
9,1.5814332723617555
10,1.7981469631195068
11,1.5201353073120116
12,1.503092384338379
13,1.4357592582702636
14,1.4738662719726563
15,1.4784619808197021
16,1.4688012599945068
17,1.4257616758346559
18,1.6060150861740112
19,1.4638598680496215
20,1.4377462148666382
21,1.4363795280456544
22,1.4024789333343506
23,1.4236418962478639
24,1.4120031356811524
25,1.4507899761199952
26,1.4066761016845704
27,1.3704715967178345
28,1.4058499336242676
29,1.3907204389572143
30,1.449743962287903
31,1.387764310836792
32,1.3735944032669067
33,1.3589206695556642
34,1.37511088848114
35,1.4190781354904174
36,1.398716640472412
