Global Step,Loss
1,6.571561717987061
2,2.936677837371826
3,2.0467906475067137
4,1.8609306335449218
5,1.738044548034668
6,1.7081140995025634
7,1.7962985277175902
8,1.5979803085327149
9,1.5727762222290038
10,1.5292354822158813
11,1.5083889961242676
12,1.482447624206543
13,1.447189950942993
14,1.615982747077942
15,1.6509549140930175
16,1.4102132797241211
17,1.4256491899490356
18,1.4340587377548217
19,1.4302812337875366
20,1.406684970855713
21,1.415738821029663
22,1.4173673391342163
23,1.3855555295944213
24,1.3832180500030518
25,1.3718121767044067
26,1.4074155330657958
27,1.3932222127914429
28,1.4289762258529664
29,1.3869398593902589
30,1.3778110504150392
31,1.365384840965271
32,1.3703908443450927
33,1.3996766328811645
34,1.3185476779937744
35,1.3646286010742188
36,1.3813015460968017
