Global Step,Loss
1,5.285575294494629
2,2.390767049789429
3,2.14000244140625
4,1.9507970094680787
5,1.8753154039382935
6,2.0100335597991945
7,1.7100449085235596
8,1.689486527442932
9,1.7238415718078612
10,1.6133939266204833
11,1.594915509223938
12,1.5278103351593018
13,1.559281015396118
14,1.5429999351501464
15,1.5635095596313477
16,1.4990071296691894
17,1.5210819959640502
18,1.5509321212768554
19,1.5377941370010375
20,1.492928719520569
21,1.5190618991851808
22,1.4807365894317628
23,1.439973783493042
24,1.449651050567627
25,1.4785892248153687
26,1.4828869581222535
27,1.4607653379440309
28,1.5073248386383056
29,1.4769440174102784
30,1.5277983903884889
31,1.548909878730774
32,1.5224623203277587
33,1.5119576930999756
34,1.489034080505371
35,1.5459863901138307
36,1.567671251296997
