Global Step,Loss
1,6.141905403137207
2,2.876206398010254
3,1.999861240386963
4,1.8202670335769653
5,1.7837520122528077
6,1.6673174381256104
7,1.664004135131836
8,1.5993700742721557
9,1.5267470121383666
10,1.5360615730285645
11,1.517866563796997
12,1.4954855918884278
13,1.5067556381225586
14,1.4612110376358032
15,1.4341515064239503
16,1.4417779922485352
17,1.4332783460617065
18,1.4266024351119995
19,1.4249511003494262
20,1.4037755966186523
21,1.418474841117859
22,1.4157153129577638
23,1.4214733839035034
24,1.403210496902466
25,1.3874207258224487
26,1.4052929639816285
27,1.3795032501220703
28,1.6537607431411743
29,1.4476674795150757
30,1.4233022689819337
31,1.4339395999908446
32,1.4026308059692383
33,1.3790287494659423
34,1.4320093631744384
35,1.4198582172393799
36,1.380580234527588
