Global Step,Loss
1,6.557082939147949
2,3.0876423358917235
3,2.1331636905670166
4,1.9386313438415528
5,1.784857153892517
6,1.6995373249053956
7,1.595043992996216
8,1.5839648246765137
9,1.5460657358169556
10,1.5294420719146729
11,1.4631226301193236
12,1.4595364570617675
13,1.4273813724517823
14,1.4880233526229858
15,1.468347191810608
16,1.4282886028289794
17,1.4095963954925537
18,1.661258053779602
19,1.4538792848587037
20,1.4198163032531739
21,1.404110050201416
22,1.4252365350723266
23,1.4220980882644654
24,1.4137290477752686
25,1.4673422813415526
26,1.4039295673370362
27,1.4137384653091432
28,1.424339723587036
29,1.4046371459960938
30,1.3617763996124268
31,1.4194689035415649
32,1.40202739238739
33,1.4211531400680542
34,1.39143545627594
35,1.3668389558792113
36,1.3524507284164429
