Global Step,Loss
1,6.5478513717651365
2,2.87442364692688
3,2.0563965797424317
4,1.891471791267395
5,1.781567358970642
6,1.686009979248047
7,1.619473147392273
8,1.6664653301239014
9,1.5604853868484496
10,1.567006254196167
11,1.546622085571289
12,1.4696369171142578
13,1.50863676071167
14,1.478420615196228
15,1.4645681381225586
16,1.4212290287017821
17,1.472224235534668
18,1.4246697187423707
19,1.4425980567932128
20,1.4040316581726073
21,1.4019431114196776
22,1.4037928342819215
23,1.4174436330795288
24,1.53322491645813
25,1.4132915496826173
26,1.3936922788619994
27,1.4235097169876099
28,1.3874374151229858
29,1.4908125877380372
30,1.4049731254577638
31,1.3706840753555298
32,1.3743478536605835
33,1.3909353494644165
34,1.3975429296493531
35,1.3538936376571655
36,1.3545584440231324
