Global Step,Loss
1,6.487663698196411
2,2.8117700576782227
3,2.03921799659729
4,1.8472108125686646
5,1.6957878112792968
6,1.6605629920959473
7,1.6947211265563964
8,1.5560323476791382
9,1.5684672117233276
10,1.5510570287704468
11,1.9424134492874146
12,1.5179573059082032
13,1.5343752384185791
14,1.6368321657180787
15,1.47107937335968
16,1.4599031209945679
17,1.5432657957077027
18,1.4427691459655763
19,1.4325990676879883
20,1.5356847047805786
21,1.4556534051895142
22,1.4887392044067382
23,1.4393057107925415
24,1.4246349811553956
25,1.4150390148162841
26,1.405709147453308
27,1.3852464199066161
28,1.4259156227111816
29,1.3687285900115966
30,1.3603721618652345
31,1.375652050971985
32,1.3832146406173706
33,1.3636577129364014
34,1.367165470123291
35,1.4683337688446045
36,1.4209910392761231
