Global Step,Loss
1,6.424853944778443
2,2.8569955825805664
3,2.013304090499878
4,1.834293746948242
5,1.7399131059646606
6,1.6374290466308594
7,1.5678531885147096
8,1.553978180885315
9,1.566621518135071
10,1.5197000741958617
11,1.4913490772247315
12,1.5311644792556762
13,1.4527876853942872
14,1.491379976272583
15,1.4528664827346802
16,1.4087047100067138
17,1.4021222829818725
18,1.41214280128479
19,1.4354701280593871
20,1.3810800790786744
21,1.4559979677200316
22,1.4277910947799684
23,1.3897146701812744
24,1.4088615655899048
25,1.3954358577728272
26,1.452369999885559
27,1.402811551094055
28,1.3808260679244995
29,1.3836297273635865
30,1.4082011222839355
31,1.3628457546234132
32,1.5576016426086425
33,1.5815495014190675
34,1.3845723152160645
35,1.4074790000915527
36,1.371230959892273
